time,open,high,low,close,Resistance,Support,Break,Break,Break,Break,Point of Control,Value Area Low,Value Area High,MA,Smoothing Line,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,MA,Smoothing Line,Developing Poc,Developing VA High,Developing VA Low,SIGNAL,MACD,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot,Plot
1646092800,39641.66929680717,44981.22,39641.66929680717,43873.685,45850,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44237.59,37787.95,2831.29722228,2202.391820249087,40698.41350000003,40454.681583333375,NaN,NaN,NaN,-4017.2561591561516,-3783.3500646612156,62.19401594324029,46.82127020479018,NaN,NaN,-2559.805888392839,0
1646179200,41757.677148403585,45332.38,41757.677148403585,44265.77,45332.38,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,2043.55683949,2201.6654615379757,40908.8224166667,40579.154066666706,NaN,NaN,NaN,-3996.5765722895653,-3486.527960198742,63.21679538644991,47.79622668912005,NaN,NaN,-1353.1788214285546,0
1646265600,43011.723574201795,44118.53,41832.34,43090.965000000004,45332.38,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,2253.43330958,2203.0769197433724,41057.393083333365,40715.79803333337,NaN,NaN,NaN,-3951.3240692941404,-3279.7592313169225,58.14132164476216,48.66870400855239,NaN,NaN,-496.3172089285538,0
1646352000,43051.3442871009,43051.3442871009,38590.95,40695.832500000004,45332.38,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,2493.65625888,2214.110311089721,41153.9716666667,40864.02783333337,NaN,NaN,NaN,-3890.0575196736536,-3224.492033392904,49.428309711148835,49.18137582652123,NaN,NaN,-144.52651696426693,0
1646438400,41873.58839355045,41873.58839355045,38600.3,39201.895000000004,45332.38,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,806.91142871,2215.148260702102,41228.19400000003,41009.35893333338,NaN,NaN,NaN,-3820.0420382381253,-3254.9100816027203,44.90774939818206,49.43571233876409,NaN,NaN,-113.11826874998115,0
1646524800,40537.74169677523,40537.74169677523,38100,38907.55,45332.38,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,1194.37373381,2222.9622127403563,41210.654083333364,41111.80705000005,NaN,NaN,NaN,-3746.040550580386,-3294.287611008702,44.05288007460161,49.66832227423188,NaN,NaN,-91.49284017855223,0
1646611200,39722.64584838762,39722.64584838762,37169.52,38287.055,45332.38,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,1949.69691981,2235.8117021290864,41103.600416666704,41150.76265000005,NaN,NaN,NaN,-3668.8680521157944,-3360.3417273166197,42.22795596315018,49.85032005796472,NaN,NaN,-0.6363267856950188,0
1646697600,39004.850424193806,39377,37885.05,38504.482500000006,45332.38,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,1864.91652947,2236.321101420515,40989.69475000004,41137.222983333384,NaN,NaN,NaN,-3595.180890024689,-3402.5691029595473,43.11718261434881,49.92458352310184,NaN,NaN,237.17797232144926,0
1646784000,38754.66646209691,42591.68,38667.65,40495.119999999995,45332.38,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44775.06,37787.95,1980.29362461,2213.8250097651185,40902.06900000003,41086.84245000004,NaN,NaN,NaN,-3516.9827056940717,-3321.886065303712,50.61226241272933,50.31445693192525,NaN,NaN,709.8012848214494,0
1646870400,39624.89323104845,42053.95,38545.19,40498.92999999999,45332.38,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44237.59,37787.95,2506.23482676,2214.7154336933722,40783.788750000036,40997.961400000044,NaN,NaN,NaN,-3430.1828897030878,-3243.6065749261397,50.62567195144406,50.79459865903365,NaN,NaN,986.4257508928772,0
1646956800,40061.91161552422,40237.22,38244.76,39161.31250000001,45332.38,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44237.59,37787.95,2063.22335158,2200.0948113236896,40617.80325000003,40879.39123333337,NaN,NaN,NaN,-3354.1795736369213,-3244.2448573188303,45.91246050250305,50.733764819941335,NaN,NaN,969.4956160714514,0
1647043200,39611.61205776212,39611.61205776212,38653.89,38916.07,45332.38,34324.05,0,0,0,0,NaN,NaN,NaN,NaN,NaN,41818.975,44237.59,37787.95,962.85566586,2190.275478724801,40439.92300000004,40746.65575000005,NaN,NaN,NaN,-3306.046764665608,-3253.8891659767687,45.08372790947677,50.40766827485925,NaN,NaN,807.0693491071656,0
